ANNEES;CODDEP;POP_IMMIGRES;TAUX_IMMIGRATION;PART_FRANCAIS;PART_ETRANGER;PART_HOMMES;PART_FEMMES;PART_0_14;PART_15_29;PART_30_44;PART_45_59;PART_60_74;PART_75_PLUS;PART_HOMMES_15_29;PART_FEMMES_15_29;PART_CS1_AGRICULTEURS;PART_CS2_ARTISANS_COMMERCANTS;PART_CS3_CADRES_PROF_SUP;PART_CS4_PROF_INTERMEDIAIRES;PART_CS5_EMPLOYES;PART_CS6_OUVRIERS;PART_CS7_RETRAITES;PART_CS8_AUTRES;POP_TOTALE;taux_crime_cheques;taux_crime_plaintes;taux_crime_vols_vehicules;taux_crime_stupefiants;taux_crime_vols_victime;taux_crime_violences;taux_crime_autres;taux_crime_infractions_pub;Taux_chomage;MEDIANE;RAPPORT_INTERDECILE
2006;33;79126,94142;0,056772562;0,960447597;0,039552403;0,478533977;0,521466023;0,173153707;0,19765823;0,212484888;0,205908497;0,125218857;0,085575822;0,097873941;0,099784289;0,00742558;0,02825938;0,06781337;0,117295458;0,144433916;0,106930382;0,203494003;0,15043544;1393753,231;126,9952213;1119,997403;1447,028035;282,6899275;1703,744929;422,8151632;633,8281269;942,7780832;0,08875;17435;4,9
2006;34;92130,5964;0,092035138;0,939211546;0,060788454;0,476672544;0,523327456;0,172298754;0,20030833;0,199286788;0,19629457;0,141685439;0,09012612;0,098102754;0,102205575;0,007866305;0,031975411;0,062925926;0,108168024;0,134445755;0,083247535;0,218254898;0,180686961;1001037,197;136,1587765;1218,336345;2086,136265;348,7382896;1814,917573;456,1269065;750,7213539;1153,503589;0,11975;15685;6,9
2006;35;26582,49363;0,028104341;0,980253494;0,019746506;0,487994986;0,512005014;0,191225633;0,213583542;0,212465821;0,189680141;0,117069644;0,075975218;0,107431354;0,106152188;0,014654089;0,024720186;0,06789679;0,114563449;0,13157008;0,119372648;0,196997866;0,138644331;945850,0889;178,8866988;1021,726393;803,1928198;189,6706488;1088,121693;315,800573;450,5999471;502,0880218;0,06575;17238;4,1
2006;36;7321,552561;0,031428528;0,979080868;0,020919132;0,484980712;0,515019288;0,158310701;0,147356527;0,193009336;0,21181104;0,167262152;0,122250244;0,076094753;0,071261774;0,021606713;0,026644442;0,032849975;0,081182362;0,140367568;0,135424472;0,290729999;0,113048925;232958,8159;121,4806999;593,667166;579,501572;218,9228161;813,0192425;345,5546411;429,2604237;496,2250498;0,07875;15522;4,2
2006;37;27431,59187;0,047270398;0,969666081;0,030333919;0,48048996;0,51951004;0,175612104;0,194258328;0,200865884;0,203366686;0,134071679;0,091825318;0,094869386;0,099388943;0,009153893;0,025166232;0,059454077;0,114279543;0,13927799;0,116262259;0,224886313;0,135559067;580312,2728;174,2165464;948,4548678;977,0601564;206,6128973;1098,718793;309,8331854;447,6899976;629,6609897;0,074;17057,5;4,4
2006;38;107161,7508;0,091631113;0,943054785;0,056945215;0,491930905;0,508069095;0,195841944;0,200355074;0,217311519;0,195116958;0,121684935;0,069689569;0,102378186;0,097976887;0,004866493;0,027400728;0,077169057;0,124680872;0,126766042;0,113094197;0,182290748;0,146960239;1169490,876;82,77106043;831,2164034;1451,486313;248,9117324;1234,126772;374,9494835;641,3047038;967,2585079;0,071;17837;4,5
2006;39;14454,01092;0,056153728;0,955880141;0,044119859;0,488478658;0,511521342;0,184210164;0,16334366;0,204144692;0,205836377;0,143831582;0,098633525;0,084245642;0,079098019;0,012514453;0,028467697;0,039577146;0,100054316;0,122385697;0,156556219;0,236449976;0,119300735;257400,7356;134,8092496;485,6240979;722,2201584;247,8625396;744,7531165;291,762958;423,0757141;481,7391051;0,06525;16342;4,1
2006;40;14797,57336;0,040784321;0,975790433;0,024209567;0,484913943;0,515086057;0,167012029;0,145284822;0,20606821;0,213956749;0,160836311;0,106841879;0,076184594;0,069100228;0,015416582;0,032996578;0,03866158;0,097007415;0,138311127;0,125811014;0,265766394;0,118653982;362825,054;213,3259518;718,2524942;1055,329547;244,1948234;1240,267162;261,2829488;375,9387575;1051,470938;0,07575;16739;4
2006;41;16708,1889;0,051380902;0,957796459;0,042203541;0,485945197;0,514054803;0,175365006;0,155692114;0,200503506;0,208583328;0,151269551;0,108586495;0,079297597;0,076394516;0,012474098;0,027097204;0,042670986;0,096219873;0,13369488;0,139630784;0,261782133;0,108437507;325182,8625;82,41516724;628,5694099;873,3547573;240,4800775;823,8441531;334,5809775;456,0510934;601,2001939;0,07475;16846;4,2
2006;42;51812,33968;0,069897294;0,946686153;0,053313847;0,481444456;0,518555544;0,179454824;0,182337162;0,194178577;0,203648747;0,143510132;0,096870557;0,092467726;0,089869436;0,00842992;0,029059645;0,043977681;0,10434898;0,126336885;0,131518911;0,235818262;0,140970527;741263,8898;88,49749853;1020,689137;1036,742799;199,3891811;1076,674597;287,3470608;565,9253145;697,7272293;0,08425;15869;4,6
